net,length_um
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[15\],175.3
_11336_,175.21
_09557_,174.96
_06787_,174.62
_10583_,174.58
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[10\],174.52
_11018_,174.49
_14473_,174.36
_10585_,174.27
_14394_,174.225
_12448_,173.92
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[14\],173.9
_04536_,173.84
_05156_,173.725
_03059_,173.62
_05114_,173.6
net289,173.36
_11036_,173.07
_04378_,173.02
_09632_,172.75
_06068_,172.62
_17207_,172.56
_11074_,172.5
_09988_,172.44
_10673_,172.4
_06639_,172.31
_03126_,172.165
_10635_,172.09
_07506_,171.96
_10302_,171.82
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[0\],171.66
_05159_,171.365
_15549_,171.36
_12952_,171.31
_07855_,171.01
_06838_,170.96
_13766_,170.48
net53,170.44
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[4\],170.42
_09497_,170.41
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[11\],169.94
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[12\],169.84
_08002_,169.76
_11019_,169.45
_08784_,169.385
_12380_,169.36
_12325_,169.11
_03310_,168.96
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[7\],168.96
_03934_,168.74
net167,168.42
_10274_,168.355
_12254_,168.265
_18503_,168.22
_13805_,168.17
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[8\],168.08
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[4\],167.88
_06714_,167.74
_10270_,167.72
_12545_,167.69
u_array.row_gen\[0\].col_gen\[1\].u_pe.x_out\[11\],167.57
net347,167.52
_07312_,167.48
_13666_,167.415
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[11\],167.12
_11158_,166.9
net372,166.87
_07740_,166.78
_08799_,166.78
_07007_,166.7
_10588_,166.66
_18484_,166.44
_14360_,166.2
_06812_,166.12
_08847_,166.115
_07665_,166.02
_12044_,165.95
net2513,165.92
_09506_,165.77
_05923_,165.36
_13315_,165.34
_09545_,164.99
net374,164.9
_11017_,164.84
_06789_,164.22
_11083_,164.115
net375,163.49
_06842_,163.28
u_array.p_wire\[10\]\[13\],163.24
_06679_,163.12
_05124_,163.08
pre_mul_gen\[0\].u_pre_mul.mul_out\[12\],163
_11102_,162.74
_11140_,162.52
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[13\],162.44
_13250_,162.335
_07591_,162.18
_09620_,161.85
_11064_,161.54
_06862_,161.43
net73,161.28
_12979_,161.22
_09550_,161.17
_07006_,161.04
net335,161.04
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_out\[10\],160.96
_16758_,160.76
_14357_,160.68
_12139_,160.66
net151,160.6
net418,160.26
_05844_,160.085
_15965_,159.82
pre_mul_gen\[0\].u_pre_mul.mul_out\[13\],159.82
_06459_,159.74
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[1\],159.72
_18667_,159.38
u_array.p_wire\[10\]\[14\],159.26
_13873_,159.205
_09528_,159.13
_18651_,158.8
_06967_,158.6
_04380_,158.57
_09618_,158.465
_06640_,158.46
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[2\],158.44
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[4\],158.4
_10244_,158.38
_06510_,158.35
u_array.row_gen\[1\].col_gen\[1\].u_pe.u_fp16_adder.valid_s1,158.325
_06660_,158.31
_13109_,158.2
pre_mul_gen\[0\].u_pre_mul.mul_out\[11\],158.16
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[0\],158.12
_13750_,157.76
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[0\],157.76
_03132_,157.635
_10233_,157.04
_10253_,156.86
_18263_,156.835
_11239_,156.8
_12479_,156.795
u_array.row_gen\[2\].col_gen\[0\].u_pe.x_s1\[10\],156.3
_15969_,156.29
_09563_,156.24
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_sum_s2\[5\],156.13
u_array.row_gen\[2\].col_gen\[1\].u_pe.x_out\[8\],156.06
_06829_,155.92
_13644_,155.86
_03891_,155.715
_07062_,155.54
_11936_,155.415
_12227_,155.4
_15189_,155.29
_18198_,155.28
_18270_,155.28
_09508_,155.255
_04181_,155.125
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[11\],155.04
_02940_,154.98
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[2\],154.86
_11846_,154.56
_13970_,154.435
_07932_,154.42
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[13\],154.2
_09522_,154.18
_12196_,154.04
_08783_,153.92
_09524_,153.895
_09576_,153.875
_17632_,153.37
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.exp_max_s2\[1\],153.28
_06338_,153.02
_06048_,152.995
_13704_,152.995
_09655_,152.98
_16492_,152.8
_13671_,152.735
u_array.row_gen\[1\].col_gen\[0\].u_pe.w_out,152.48
_14377_,152.1
net371,151.74
_12552_,151.72
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[9\],151.6
_15237_,151.52
_18524_,151.47
_00935_,151.385
col_deskew_out\[0\].genblk1.u_deskew_buf.d_in\[12\],151.3
_03707_,151.23
_10269_,151.23
_11169_,151.15
u_array.row_gen\[3\].col_gen\[2\].u_pe.u_fp16_adder.valid_out,151.14
_05989_,151.08
u_array.row_gen\[2\].col_gen\[0\].u_pe.x_s1\[14\],151
_07135_,150.755
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_out\[4\],150.4
u_array.p_wire\[10\]\[0\],150.36
_06988_,150.245
u_array.row_gen\[1\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[0\],150.18
_13064_,150.16
_12158_,150.1
_16767_,150.1
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_out\[14\],149.76
u_array.row_gen\[2\].col_gen\[3\].u_pe.u_fp16_adder.mant_small_aligned_s1\[0\],149.535
pre_mul_gen\[2\].u_pre_mul.mul_out\[13\],149.46
_13048_,149.375
net405,149.28
clknet_leaf_181_clk,149.16
_14685_,149.14
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[5\],148.98
_07207_,148.93
u_array.p_wire\[10\]\[1\],148.92
_09585_,148.7
_04731_,148.67
_13364_,148.55
_17018_,148.31
_11865_,148.28
_13721_,148.145
_03152_,147.92
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_sum_s2\[4\],147.8
net461,147.76
_15972_,147.72
u_array.p_wire\[11\]\[10\],147.66
_05871_,147.54
_03213_,147.18
_15696_,147.12
net407,147.08
net336,146.87
_07413_,146.86
_12230_,146.46
u_array.row_gen\[1\].col_gen\[2\].u_pe.x_s1\[2\],146.28
_12236_,146.05
_17009_,146.04
_12119_,146.01
_08165_,145.94
net321,145.85
_09707_,145.815
_10292_,145.55
_11111_,145.485
_10560_,145.46
_09667_,145.37
post_mul_gen\[3\].u_post_mul.valid_in,145.32
u_array.row_gen\[2\].col_gen\[1\].u_pe.u_fp16_adder.mant_sum_s2\[4\],145.04
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[6\],144.9
_10392_,144.74
_09736_,144.67
_10291_,144.58
_16102_,143.99
_03871_,143.9
_13684_,143.82
_07130_,143.74
u_array.row_gen\[3\].col_gen\[0\].u_pe.x_out\[3\],143.74
_03633_,143.67
_17014_,143.64
_14369_,143.54
_12970_,143.44
_03915_,143.42
u_array.row_gen\[1\].col_gen\[0\].u_pe.x_out\[10\],142.85
_03373_,142.69
_03890_,142.68
_06407_,142.54
_07526_,142.5
_14580_,142.475
u_array.row_gen\[1\].col_gen\[0\].u_pe.u_fp16_adder.shift_amt_s2\[2\],142.28
_17511_,142.22
_05118_,141.94
u_array.p_wire\[10\]\[8\],141.84
_14457_,141.8
_12951_,141.695
_14428_,141.68
_03395_,141.62
_13117_,141.61
_17548_,141.36
net131,141.34
_11883_,141.18
_12935_,141.16
_09510_,141.06
_11267_,140.94
_10248_,140.68
_18522_,140.65
_05458_,140.62
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_out\[6\],140.38
net113,140.02
_13679_,139.875
pre_mul_gen\[2\].u_pre_mul.mul_out\[10\],139.76
_03130_,139.74
_10258_,139.66
_17757_,139.58
pre_mul_gen\[2\].u_pre_mul.mul_out\[12\],139.52
_15234_,139.47
_07931_,139.42
_17389_,139.4
_16366_,139.16
_14541_,139.135
_05498_,139.03
_07836_,138.7
_14373_,138.69
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_out\[8\],138.64
_18045_,138.58
clknet_leaf_207_clk,138.58
_16365_,138.52
_14512_,138.51
_12245_,138.46
_13142_,138.46
_05345_,138.38
u_array.row_gen\[1\].col_gen\[1\].u_pe.u_fp16_adder.mant_small_aligned_s1\[0\],138.34
_12138_,138.28
_11954_,138.1
_08822_,138.07
u_array.p_wire\[10\]\[6\],138.02
_02938_,137.96
net296,137.96
net343,137.93
u_array.p_wire\[10\]\[9\],137.66
u_array.row_gen\[3\].col_gen\[3\].u_pe.u_fp16_adder.mant_sum_s2\[10\],137.66
_00241_,137.44
clknet_leaf_56_clk,137.22
_17989_,137.165
clknet_leaf_317_clk,137.04
_12931_,136.94
_09130_,136.93
_06716_,136.79
_13125_,136.655
_13194_,136.525
u_array.row_gen\[3\].col_gen\[1\].u_pe.x_out\[2\],136.52
_10259_,136.44
